text,true_label,TextBlob_label,TextBlob_score,VADER_label,VADER_score,DistilBERT (SST-2 baseline)_label,DistilBERT (SST-2 baseline)_score,Twitter-RoBERTa_label,Twitter-RoBERTa_score,Your Model (v2)_label,Your Model (v2)_score,text_type
I love this product!,POSITIVE,POSITIVE,0.625,POSITIVE,0.6696,POSITIVE,0.9998855590820312,POSITIVE,0.9848045110702515,POSITIVE,0.9301244020462036,Simple
This is amazing and wonderful,POSITIVE,POSITIVE,0.8,POSITIVE,0.8176,POSITIVE,0.9998798370361328,POSITIVE,0.9808946251869202,POSITIVE,0.9136480093002319,Simple
Best purchase ever!,POSITIVE,POSITIVE,1.0,POSITIVE,0.6696,POSITIVE,0.9998308420181274,POSITIVE,0.9768334627151489,POSITIVE,0.9532342553138733,Neutral
I hate this. Terrible.,NEGATIVE,NEGATIVE,-0.9,NEGATIVE,-0.8087,NEGATIVE,-0.9997054934501648,NEGATIVE,-0.9424639940261841,NEGATIVE,-0.9301803112030029,Simple
Worst experience ever,NEGATIVE,NEGATIVE,-1.0,NEGATIVE,-0.6249,NEGATIVE,-0.9997971653938293,NEGATIVE,-0.9115007519721985,NEGATIVE,-0.961875855922699,Simple
This is awful and disappointing,NEGATIVE,NEGATIVE,-0.8,NEGATIVE,-0.7351,NEGATIVE,-0.9998059868812561,NEGATIVE,-0.9284490942955017,NEGATIVE,-0.9606354832649231,Simple
THIS IS AWESOME!!! 😍🔥,POSITIVE,POSITIVE,1.0,POSITIVE,0.8079,POSITIVE,0.9998759031295776,POSITIVE,0.985355794429779,POSITIVE,0.4602595567703247,Social Media
OMG this is sooo good!!!,POSITIVE,POSITIVE,1.0,POSITIVE,0.5826,POSITIVE,0.999808132648468,POSITIVE,0.988603949546814,POSITIVE,0.6029033660888672,Social Media
wtf this is trash 🗑️💩,NEGATIVE,NEGATIVE,-0.5,NEGATIVE,-0.5859,NEGATIVE,-0.999485969543457,NEGATIVE,-0.9548421502113342,NEGATIVE,-0.6716393232345581,Social Media
worst app ever!!!!,NEGATIVE,NEGATIVE,-1.0,NEGATIVE,-0.7405,NEGATIVE,-0.9997822642326355,NEGATIVE,-0.9347074031829834,NEGATIVE,-0.9638519883155823,Social Media
This app is fire 🔥,POSITIVE,NEUTRAL,0.0,NEGATIVE,-0.5859,NEGATIVE,-0.8347989916801453,POSITIVE,0.975357711315155,NEUTRAL,0.0,Social Media
ngl this slaps fr fr,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9971866011619568,POSITIVE,0.9471531510353088,NEGATIVE,-0.8451331853866577,Slang
This is mid tbh,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9984563589096069,NEGATIVE,-0.6770651340484619,NEUTRAL,0.0,Slang
"big yikes, this is trash",NEGATIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9997339844703674,NEGATIVE,-0.9221323132514954,NEGATIVE,-0.8473681807518005,Slang
"Oh great, another bug. Just what I needed.",NEGATIVE,POSITIVE,0.8,POSITIVE,0.6249,NEGATIVE,-0.7851526141166687,NEGATIVE,-0.6822276711463928,NEGATIVE,-0.6854152679443359,Sarcasm
"Wow, amazing how it crashes every time.",NEGATIVE,POSITIVE,0.35000000000000003,POSITIVE,0.8225,POSITIVE,0.9994969367980957,NEGATIVE,-0.49722999334335327,POSITIVE,0.901390552520752,Sarcasm
"Sure, 'working as intended' lol",NEGATIVE,POSITIVE,0.65,POSITIVE,0.6249,POSITIVE,0.9905087947845459,NEUTRAL,-0.5310462713241577,POSITIVE,0.46817323565483093,Sarcasm
