text,true_label,TextBlob_label,TextBlob_score,VADER_label,VADER_score,DistilBERT (SST-2 baseline)_label,DistilBERT (SST-2 baseline)_score,Twitter-RoBERTa_label,Twitter-RoBERTa_score,Your Model (v2)_label,Your Model (v2)_score,text_type
user: AAP Not loving that close.  ong weekly 450 calls. 25000 of us praying for the 450 pin close,POSITIVE,NEGATIVE,-0.3,NEGATIVE,-0.1645,NEGATIVE,-0.9985860586166382,NEGATIVE,-0.8479025959968567,NEGATIVE,-0.479966938495636,Complex
$COMDX: Natural gas inventory showed a draw of 115 bcf vs a 137 bcf draw last week https://t.co/MujjhgPyDZ,POSITIVE,NEUTRAL,0.05,POSITIVE,0.3612,NEGATIVE,-0.9928246736526489,NEUTRAL,-0.9034761786460876,NEGATIVE,-0.46079227328300476,Finance/Stock-Domain
Tory manifesto leaves door open to no-deal Brexit https://t.co/Qca426gTj9,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9986427426338196,NEUTRAL,-0.5123087763786316,NEGATIVE,-0.6683035492897034,Complex
Could this false breakout on BAC take us down to 11 ?   ,NEGATIVE,NEGATIVE,-0.2777777777777778,NEUTRAL,0.0,NEGATIVE,-0.9994588494300842,NEUTRAL,-0.5246642231941223,NEGATIVE,-0.920455813407898,Simple
"$COST congrats to my fellow bulls…iv crush or not atleast we aren’t on the loosing side. 👍

 One simple solution for contractors and design pros
⟱⟱⟱ ",POSITIVE,NEUTRAL,0.0,POSITIVE,0.6249,NEGATIVE,-0.9875028729438782,POSITIVE,0.8966068625450134,NEGATIVE,-0.639045774936676,Finance/Stock-Domain
squeeze the shorts baby lets run $tsla,POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9805843830108643,POSITIVE,0.7285560369491577,NEUTRAL,0.0,Finance/Stock-Domain
@MikeCaymanTrades sometimes,NEUTRAL,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.8035542368888855,NEUTRAL,-0.9207993149757385,NEUTRAL,0.0,Simple
"Jim Messina: The re-election of Donald Trump would pose an existential threat to the US and the world
https://t.co/AsNHP7ndbt",NEUTRAL,NEUTRAL,0.0,NEGATIVE,-0.5267,NEGATIVE,-0.9932032823562622,NEGATIVE,-0.5987381339073181,NEGATIVE,-0.9197848439216614,Complex
"If this $AMZN crashes A/Hs today, it will be the most widely predicted + anticipated earnings crash in a long time.",NEGATIVE,POSITIVE,0.11666666666666668,NEGATIVE,-0.4019,NEGATIVE,-0.9974390268325806,NEGATIVE,-0.8844617009162903,NEGATIVE,-0.9557880759239197,Finance/Stock-Domain
"I think many saw this coming.
Now start the countdown on AT&amp;T and TimeWarner
$VZ $T ",NEUTRAL,POSITIVE,0.5,NEUTRAL,0.0,POSITIVE,0.8804202675819397,NEUTRAL,-0.7472128868103027,NEUTRAL,0.0,Finance/Stock-Domain
"This is great news for those who truly understand BTC; however, for those who don't get it, I expect them to laugh at me. It is all good because I am not worried one bit at all.

I have no respect for volatility and I love FUD. These are great times to buy more BTC and ETH. Very simple: no brain, all stomach, and I will wait it out with ease. Bring on more bad news, bring on more blood, bring on more negative sentiment. Nothing has changed fundamentally about BTC and ETH.",POSITIVE,POSITIVE,0.34166666666666673,POSITIVE,0.8894,POSITIVE,0.98492830991745,POSITIVE,0.8042666912078857,NEGATIVE,-0.8851284384727478,Complex
"BVSN on the fence, if it goes under, it will be a nice short. with a 1 dollar roll possibility. Target 9.30.",NEGATIVE,POSITIVE,0.3,POSITIVE,0.4215,NEGATIVE,-0.9875926375389099,NEUTRAL,-0.52862948179245,NEUTRAL,0.0,Complex
"Fluidigm EPS beats by $0.06, beats on revenue",POSITIVE,NEUTRAL,0.0,NEUTRAL,0.0,NEGATIVE,-0.9922630786895752,POSITIVE,0.7978519797325134,NEUTRAL,0.0,Finance/Stock-Domain
"RT @winstapro: ES_F stuck in the range. Let see if it holds 3140

$ES $SPX $AAPL $AMZN $BA $FB $GOOGL $NFLX $NVDA $TSLA $ROKU $SPOT $SHOP $…",NEGATIVE,NEUTRAL,0.0,NEGATIVE,-0.25,NEGATIVE,-0.9994074106216431,NEUTRAL,-0.8498353362083435,NEUTRAL,0.0,Finance/Stock-Domain
